STATUS | wrapper  | 2010/11/15 14:09:19 | Configuration file, D:\Documents and Settings\xulunan\桌面\stock\javaServer\javaServer\conf\wrapper.conf, contains a problem on line #203 and could not be read. (Invalid multibyte sequence.)
FATAL  | wrapper  | 2010/11/15 14:09:19 | Failed to load configuration.
STATUS | wrapper  | 2010/11/15 14:09:42 | Configuration file, D:\Documents and Settings\xulunan\桌面\stock\javaServer\javaServer\conf\wrapper.conf, contains a problem on line #203 and could not be read. (Invalid multibyte sequence.)
FATAL  | wrapper  | 2010/11/15 14:09:42 | Failed to load configuration.
STATUS | wrapper  | 2010/11/15 14:10:14 | Configuration file, D:\Documents and Settings\xulunan\桌面\stock\javaServer\javaServer\conf\wrapper.conf, contains a problem on line #203 and could not be read. (Invalid multibyte sequence.)
FATAL  | wrapper  | 2010/11/15 14:10:14 | Failed to load configuration.
STATUS | wrapper  | 2010/11/15 14:10:18 | Configuration file, D:\Documents and Settings\xulunan\桌面\stock\javaServer\javaServer\conf\wrapper.conf, contains a problem on line #203 and could not be read. (Invalid multibyte sequence.)
FATAL  | wrapper  | 2010/11/15 14:10:18 | Failed to load configuration.
STATUS | wrapper  | 2010/11/15 14:14:21 | Configuration file, D:\Documents and Settings\xulunan\桌面\stock\javaServer\javaServer\conf\wrapper.conf, contains a problem on line #203 and could not be read. (Invalid multibyte sequence.)
FATAL  | wrapper  | 2010/11/15 14:14:21 | Failed to load configuration.
STATUS | wrapper  | 2015/05/22 23:29:39 | Configuration file not found: D:\workspace\lunan.xu\stock\stock\javaServer\javaServer\bin\wrapper.conf
STATUS | wrapper  | 2015/05/22 23:29:39 |   Current working directory: D:\workspace\lunan.xu\stock\stock\javaServer\javaServer\bin
