STATUS | wrapper  | 2010/11/15 13:59:27 | --> Wrapper Started as Service
STATUS | wrapper  | 2010/11/15 13:59:27 | Java Service Wrapper Community Edition 32-bit 3.5.6
STATUS | wrapper  | 2010/11/15 13:59:27 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2010/11/15 13:59:27 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2010/11/15 13:59:27 | 
STATUS | wrapper  | 2010/11/15 13:59:27 | Launching a JVM...
INFO   | jvm 1    | 2010/11/15 13:59:28 | WrapperManager: Initializing...
INFO   | jvm 1    | 2010/11/15 13:59:28 | ***************
INFO   | jvm 1    | 2010/11/15 13:59:28 | JAVA学习窗体
INFO   | jvm 1    | 2010/11/15 13:59:33 | sleep结束
INFO   | jvm 1    | 2010/11/15 13:59:33 | 窗体结束
STATUS | wrapper  | 2010/11/15 14:01:27 | Service is running.  Stopping it...
STATUS | wrapper  | 2010/11/15 14:01:28 | <-- Wrapper Stopped
STATUS | wrapper  | 2010/11/15 14:01:30 | Test Wrapper Sample Application stopped.
STATUS | wrapper  | 2010/11/15 14:01:30 | Test Wrapper Sample Application service removed.
STATUS | wrapper  | 2010/11/15 14:02:34 | Test Wrapper Sample Application service installed.
STATUS | wrapper  | 2010/11/15 14:02:41 | --> Wrapper Started as Service
STATUS | wrapper  | 2010/11/15 14:02:41 | Java Service Wrapper Community Edition 32-bit 3.5.6
STATUS | wrapper  | 2010/11/15 14:02:41 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2010/11/15 14:02:41 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2010/11/15 14:02:41 | 
STATUS | wrapper  | 2010/11/15 14:02:41 | Launching a JVM...
INFO   | jvm 1    | 2010/11/15 14:02:42 | java.lang.NoClassDefFoundError: org/tanukisoftware/wrapper/WrapperSimpleApp
ERROR  | wrapper  | 2010/11/15 14:02:42 | JVM exited while loading the application.
INFO   | jvm 1    | 2010/11/15 14:02:42 | Exception in thread "main" 
STATUS | wrapper  | 2010/11/15 14:02:46 | Launching a JVM...
INFO   | jvm 2    | 2010/11/15 14:02:46 | java.lang.NoClassDefFoundError: org/tanukisoftware/wrapper/WrapperSimpleApp
